seed,n_markers,n_true,bias,n_samples,paired,n_cells,pi,beta_treatment,beta_control,rho_b,rho_u,sigma_b,sigma_u,fdr,method,fdp,power
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BH,0,0
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BY,0,0
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BH,0,0
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BY,0,0
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BH,0,0
1,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BY,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BH,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BY,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BH,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BY,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BH,0,0
2,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BY,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BH,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BY,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BH,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BY,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BH,0,0
3,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BY,0,0
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BH,0.3333333333333333,0.6666666666666666
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLMM-BY,0,0
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BH,0,0
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-PERM-BY,0,0
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BH,0,0
4,10,3,0,4,TRUE,1000,0,3.2068032436339315,3.131136910560194,0,0,1,1,0.05,GLM-BY,0,0
